ticketId,Date (Ticket Created),Date (Ticket Last Updated),Date (Ticket Solved),Type,Category,Sub Category,Ticket Group,Ticket Status,corpId,Ticket Requester Domain,Z Channel,# SLA tickets,# SLAs Achieved,# SLAs Breached (Total),% Achieved,% Breached
540567,7/9/18,7/13/18,7/13/18,Complaint,Payment Related,Refund not received,L1 - Support,Closed,-,gmail.com,Email,1,0,1,0,1
540568,7/9/18,7/16/18,7/9/18,Other,DNC,Blank chat,L1 - Support,Closed,2246,arrkgroup.com,Chat,1,1,0,1,0
540569,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,zeta.in,App,1,0,1,0,1
540571,7/9/18,7/17/18,7/10/18,Request,Account Related,Zeta account migration,L1 - Support,Closed,5213,sodexo.com,Email,1,0,1,0,1
540572,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,zeta.in,App,1,0,1,0,1
540573,7/9/18,7/17/18,7/10/18,Query,Product Related,Meal card,L1 - Support,Closed,654,zeta.in,App,1,0,1,0,1
540574,7/9/18,7/13/18,7/13/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,5508,gmail.com,Email,1,0,1,0,1
540576,7/9/18,7/12/18,7/12/18,Complaint,Payment Related,Online txn - Debited not credited to merchant,L1 - Support,Closed,3859,amazon.com,Chat,1,1,0,1,0
540577,7/9/18,7/16/18,7/9/18,Complaint,Corporate Benefit Related,Meal voucher not received - Routed to HR,L1 - Support,Closed,3859,amazon.com,Chat,1,1,0,1,0
540578,7/9/18,7/13/18,7/13/18,Complaint,Payment Related,Refund not received,L1 - Support,Closed,6155,gmail.com,Phone,1,0,1,0,1
540579,7/9/18,7/17/18,7/10/18,Query,Product Related,Super card status Non KYCed,L1 - Support,Closed,-,gmail.com,App,1,0,1,0,1
540580,7/9/18,7/17/18,7/12/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,14578,gmail.com,Email,1,1,2,0.333333333333333,0.666666666666667
540581,7/9/18,7/13/18,7/13/18,Complaint,Payment Related,Refund not received,L1 - Support,Closed,6009,gmail.com,App,1,0,1,0,1
540583,7/9/18,7/17/18,7/10/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,3859,amazon.com,Email,1,0,1,0,1
540585,7/9/18,7/17/18,7/10/18,Query,Product Related,Digi gift card,L1 - Support,Closed,2934,zeta.in,App,1,0,1,0,1
540586,7/9/18,7/12/18,7/9/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,7677,swiggy.in,web form,1,1,0,1,0
540587,7/9/18,7/16/18,7/9/18,Other,DNC,Blank chat,L1 - Support,Closed,3805,infinitiretail.com,Chat,1,1,0,1,0
540588,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,2934,zeta.in,App,1,0,1,0,1
540589,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,gmail.com,App,1,0,1,0,1
540591,7/9/18,7/9/18,7/9/18,Other,DNC,Blank chat,L1 - Support,Closed,3805,infinitiretail.com,Chat,1,1,0,1,0
540592,7/9/18,7/16/18,7/9/18,Other,DNC,Blank chat,L1 - Support,Closed,3859,amazon.com,Chat,1,1,0,1,0
540594,7/9/18,7/17/18,7/10/18,Other,Unknown Category,Unknown,L1 - Support,Closed,9410,sodexo.com,Email,1,0,1,0,1
540595,7/9/18,7/17/18,7/10/18,Other,Unknown Category,Unknown,L1 - Support,Closed,9410,sodexo.com,Email,1,0,1,0,1
540596,7/9/18,7/17/18,7/10/18,Other,Unknown Category,Unknown,L1 - Support,Closed,9410,sodexo.com,Email,1,0,1,0,1
